Fecha,Tipo,Categoría,Descripción,Método de Pago,Monto
24/04/2026,Ingreso,Nómina,"Credito Nomina Empresarial - Bonificación",Transferencia,112547.18
15/04/2026,Gasto,Apartamento,"Pago Residencial Jardines del Arroyo A12 402, 2026 Abril",Efectivo,24000
15/04/2026,Ingreso,Nómina,"Credito Nomina Empresarial",Transferencia,50000
14/04/2026,Gasto,Salud,"FARM CAROL COLINA-FEC. ORIG: 20260411 Ref:6987234",Tarjeta,2193.88
14/04/2026,Gasto,Salud,"FARM CAROL COLINA-FEC. ORIG: 20260411, Ref: 6988761",Tarjeta,450
14/04/2026,Gasto,Otros,"RESTAURANT EXPRESO-FEC. ORIG: 20260412",Tarjeta,450
14/04/2026,Gasto,Otros,"Ret. VISA ABPHNM - RETIRO CAJERO - Ref. 836292",Tarjeta,2900
13/04/2026,Gasto,Otros,"TINA MALL-FEC. ORIG: 20260411 - ref: 6979073",Tarjeta,3195
13/04/2026,Gasto,Otros,"SERENA-FEC. ORIG: 20260410 - Ref. 6753871 (NO LO RECONOZCO)",Tarjeta,3000
13/04/2026,Gasto,Salud,"CEDISA INCOSEGLA-FEC. ORIG: 20260410",Tarjeta,513.2
13/04/2026,Gasto,Compras,"BRAVO JACOBO MAJLU-FEC. ORIG: 20260410",Tarjeta,231
13/04/2026,Gasto,Compras,"LA SIRENA AUT DUAR-FEC. ORIG: 20260409",Tarjeta,120.28
13/04/2026,Gasto,Otros,"SERENA-FEC. ORIG: 20260410 (NO LO RECONOZCO)",Tarjeta,1500
09/04/2026,Gasto,Compras,"LA SIRENA AUT DUAR-FEC. ORIG: 20260407",Tarjeta,185
08/04/2026,Gasto,Servicios,"ALTICE MOVIL:8098051308",Transferencia,200
08/04/2026,Gasto,Servicios,"ALTICE MOVIL:8098051308",Transferencia,219.66
08/04/2026,Gasto,Servicios,"ALTICE MOVIL:8098051308",Transferencia,200
06/04/2026,Gasto,Combustible,"TOTAL JACOBO-FEC. ORIG: 20260402",Tarjeta,2800
06/04/2026,Gasto,Salud,"FARM HIDALGOS OLE-FEC. ORIG: 20260402",Tarjeta,2598.3
06/04/2026,Gasto,Salud,"FCIA MEDICAR GBC J-FEC. ORIG: 20260401",Transferencia,89.02
06/04/2026,Gasto,Combustible,"MANUEL CORRIPIO C-FEC. ORIG: 20260404",Tarjeta,2500.5
06/04/2026,Gasto,Otros,"M&M DRINK LIQUOR-FEC. ORIG: 20260401",Tarjeta,1910
06/04/2026,Gasto,Compras,"OLE JUST CLEAN JAC-FEC. ORIG: 20260404",Tarjeta,235
06/04/2026,Gasto,Combustible,"PROPAGAS CALLE MOC-FEC. ORIG: 20260403",Tarjeta,2229.5
06/04/2026,Gasto,Otros,"AROMA COFFEE SERVI-FEC. ORIG: 20260402",Tarjeta,60
06/04/2026,Gasto,Compras,"HIPER OLE JACOBO M-FEC. ORIG: 20260402",Tarjeta,188
06/04/2026,Gasto,Salud,"GBC NACIONAL ARROY-FEC. ORIG: 20260401",Tarjeta,593.39
06/04/2026,Gasto,Compras,"LA SIRENA GALERIA-FEC. ORIG: 20260402",Tarjeta,9190
02/04/2026,Gasto,Otros,"Completivo Chacabana Negra",Tarjeta,3000
02/04/2026,Gasto,Compras,"HIPER OLE JACOBO M-FEC. ORIG: 20260331",Tarjeta,156
02/04/2026,Gasto,Compras,"JUMBO PATIO EMBAJA-FEC. ORIG: 20260331",Tarjeta,780
02/04/2026,Gasto,Otros,"Cargo Mensual Uso VD 8556 ABR/2026",Transferencia,70
01/04/2026,Gasto,Otros,"Chacabanas blanco y negro",Transferencia,8000
